year,province,university_name,major_group_code,major_group_name,major_name,batch,enrollment_count,subject_requirements,highest_score,lowest_score,average_score,lowest_rank,average_rank,notes
2024,上海,华东理工大学,Z0502,华东理工(02),计算机科学与技术,综合评价录取,3,物化,572,564,567,5180,4662,
2024,上海,华东理工大学,Z0502,华东理工(02),软件工程,综合评价录取,4,物化,572,566,568,4841,4499,
2024,上海,华东理工大学,Z0502,华东理工(02),人工智能,综合评价录取,6,物化,572,563,566,5356,4841,
2024,上海,华东理工大学,Z0502,华东理工(02),机器人工程,综合评价录取,3,物化,572,565,568,5019,4499,
2024,上海,华东理工大学,Z0502,华东理工(02),数学与应用数学,综合评价录取,2,物化,572,565,565,5356,5356,
2024,上海,华东理工大学,Z0502,华东理工(02),应用物理学,综合评价录取,2,物化,572,563,566,5356,4841,
2024,上海,华东理工大学,Z0502,华东理工(02),光电信息科学与工程,综合评价录取,2,物化,572,563,566,5356,4841,
2024,上海,华东理工大学,Z0502,华东理工(02),工业设计,综合评价录取,2,物化,572,564,564,5180,5180,
2024,上海,华东理工大学,Z0503,华东理工(03),化学工程与工艺(中外合作办学)(精英班),综合评价录取,4,物化,567,555,559,6832,6102,
2024,上海,华东理工大学,Z0503,华东理工(03),应用化学(中外合作办学)(精英班),综合评价录取,8,物化,567,556,560,6631,5899,
2024,上海,华东理工大学,Z0503,华东理工(03),高分子材料与工程(中外合作办学)(精英班),综合评价录取,4,物化,567,555,557,6832,6458,
2024,上海,华东理工大学,Z0503,华东理工(03),环境工程(中外合作办学)(精英班),综合评价录取,4,物化,567,555,557,6832,6458,
2024,上海,华东理工大学,Z0504,华东理工(04),经济学,综合评价录取,3,不限,563,551,557,7592,6631,
2024,上海,华东理工大学,Z0504,华东理工(04),金融学,综合评价录取,3,不限,563,558,559,6285,6102,
2024,上海,华东理工大学,Z0504,华东理工(04),工商管理(商务分析方向),综合评价录取,2,不限,563,552,555,7412,6832,
2024,上海,华东理工大学,Z0504,华东理工(04),市场营销(大数据营销方向),综合评价录取,2,不限,563,553,554,7218,7021,
2024,上海,华东理工大学,Z0504,华东理工(04),人力资源管理(人力资源数据分析方向),综合评价录取,2,不限,563,553,553,7218,7218,
2024,上海,华东理工大学,Z0504,华东理工(04),会计学(大数据会计方向),综合评价录取,2,不限,563,558,560,6285,5899,
2024,上海,华东理工大学,Z0504,华东理工(04),财务管理(智能财务方向),综合评价录取,3,不限,563,557,558,6285,6285,
2024,上海,华东理工大学,Z0504,华东理工(04),国际经济与贸易,综合评价录取,2,不限,563,556,558,6631,6285,
2024,上海,华东理工大学,Z0504,华东理工(04),社会学,综合评价录取,2,不限,563,551,554,7592,7021,
2024,上海,华东理工大学,Z0504,华东理工(04),社会工作,综合评价录取,2,不限,563,552,555,6832,6832,
2024,上海,华东理工大学,Z0504,华东理工(04),公共事业管理,综合评价录取,1,不限,563,556,556,6631,6631,
2024,上海,华东理工大学,Z0504,华东理工(04),风景园林(景观建筑规划方向),综合评价录取,1,不限,563,562,562,5544,5544,
2024,上海,华东理工大学,Z0504,华东理工(04),英语,综合评价录取,2,不限,563,552,555,7412,6832,
2024,上海,华东理工大学,Z0504,华东理工(04),德语,综合评价录取,1,不限,563,551,551,7592,7592,
2024,上海,华东理工大学,Z0504,华东理工(04),日语,综合评价,2,不限,563,552,554,7412,7021,
2024,上海,东华大学,Z0601,东华大学(01),纺织类,综合评价,2,物化,558,548,552,8178,7412,
2024,上海,东华大学,Z0601,东华大学(01),生物工程(生物医药方向),综合评价,2,物化,558,550,554,7798,7021,
2024,上海,东华大学,Z0601,东华大学(01),功能材料,综合评价,2,物化,558,552,556,7412,6631,
2024,上海,东华大学,Z0601,东华大学(01),纺织工程(纺织工程与产品设计双学士学位),综合评价,2,物化,558,554,554,7021,7021,
2024,上海,东华大学,Z0601,东华大学(01),理科试验班,综合评价,7,物化,558,548,550,8178,7798,
2024,上海,东华大学,Z0601,东华大学(01),材料类,综合评价,5,物化,558,550,552,7798,7412,
2024,上海,东华大学,Z0602,东华大学(02),新闻传播学类,综合评价,4,不限,558,547,549,8372,7975,
2024,上海,东华大学,Z0602,东华大学(02),社会科学试验班,综合评价,3,不限,558,546,546,8561,8561,
2024,上海,东华大学,Z0602,东华大学(02),经济管理试验班,综合评价,7,不限,558,548,551,8178,7592,
2024,上海,东华大学,Z0602,东华大学(02),经济与贸易类,综合评价,7,不限,558,546,547,8372,8372,
2024,上海,东华大学,Z0603,东华大学(03),智能科学与技术,综合评价,2,物化,559,550,552,7975,7412,
2024,上海,东华大学,Z0603,东华大学(03),数据科学与大数据技术,综合评价,2,物化,559,550,552,7975,7412,
