年份,院校名称,专业组代码,专业组名称,专业列表,投档分数,投档排位
2024,上海师范大学,12301,上海师大(01),"汉语言文学(光启实验班), 世界史, 古典文献学, 档案学, 社会工作, 法学, 哲学, 人力资源管理, 英语, 行政管理, 法语, 日语, 旅游管理类, 经济学(中外合作办学)(中美合作), 经济学(中外合作办学)(中法合作), 广告学(中外合作办学), 新闻传播学类, 应用心理学",505,18290
2024,上海师范大学,12302,上海师大(02),地理科学类,522,14026
2024,上海师范大学,12303,上海师大(03),"经济学, 金融学类, 财务管理, 信用管理, 金融科技, 工程管理",503,18767
2024,上海师范大学,12304,上海师大(04),"生物科学, 食品安全与检测, 化学类, 环境工程, 园艺, 数学与应用数学(数学金融 AI 实验班), 数学类, 物理学, 电子信息类, 汽车服务工程(中外合作办学), 土木工程(中外合作办学), 电子信息工程(中外合作办学), 机械设计制造及其自动化(中外合作办学), 计算机科学与技术(中外合作办学)",494,20956
2024,上海工程技术大学,12401,上工程(01),"机械工程, 车辆工程, 飞行器制造工程",484,23553
2024,上海工程技术大学,12402,上工程(02),"智能制造工程, 机器人工程, 电子信息类, 电子信息工程, 制药工程, 药学封装技术, 数据计算及应用, 光电信息科学与工程",476,25541
2024,上海工程技术大学,12403,上工程(03),"能源与动力工程, 汽车服务工程, 高分子材料与工程, 化学工程与工艺, 环境工程, 涂料工程, 材料化学, 材料成型及控制工程, 纺织工程, 非织造材料与工程, 车辆工程(城市轨道交通车辆方向), 轨道交通信号与控制, 交通运输, 轨道交通, 材料科学(东方管理方向)",461,29262
2024,上海工程技术大学,12404,上工程(04),"工程管理, 信息管理与信息系统, 工业工程",475,25819
2024,上海工程技术大学,12405,上工程(05),"工商管理类, 公共管理类, 金融学, 国际经济与贸易, 旅游管理(邮轮经济方向), 物流管理, 养老服务管理, 广告学, 物流管理(民航物流方向), 交通管理, 服装设计与工程, 翻译",465,28294
2024,上海海事大学,12501,上海体大(01),新闻学,511,16761
2024,上海海事大学,12502,上海体大(02),英语,491,21744
2024,上海海事大学,12503,上海体大(03),汉语国际教育,492,21473
2024,上海海事大学,12504,上海体大(04),工商管理类,485,23293
2024,上海海事大学,12505,上海体大(05),医学技术类(运动健康方向),487,22781
2024,上海海事大学,12506,上海体大(06),数据科学与大数据技术,486,23040
2024,海军军医大学,12601,海医大(01),"临床医学(高级临床医师方向), 临床医学(卓越医师方向), 麻醉学(临床麻醉医师方向), 医学影像学(临床影像医师方向), 中医学(中医临床医师方向)",562,5544
2024,海军军医大学,12602,海医大(02),"药学(药剂师方向), 生物技术",548,8178
2024,海军军医大学,12603,海医大(03),护理学(护理师方向),531,11919
2024,上海立信会计金融学院,12701,立信金融(01),"金融学, 信用管理, 经济学, 国际经济与贸易, 保险学, 财政学, 税收学, 法学, 日语, 商务英语, 英语",470,26996
2024,上海立信会计金融学院,12702,立信金融(02),"会计学, 审计学, 财务管理, 资产评估, 国际商务, 工商管理, 人力资源管理, 市场营销, 物流管理, 行政管理",477,25299
2024,上海立信会计金融学院,12703,立信金融(03),"投资学, 经济统计学, 金融数学, 数字经济, 精算学",454,30934
2024,上海立信会计金融学院,12704,立信金融(04),"应用统计学, 数学与应用数学, 计算机科学与技术, 数据科学与大数据技术, 智能科学与技术",448,32390
2024,上海第二工业大学,12801,二工大(01),计算机科学与技术(卓越工程师班),471,26748
2024,上海第二工业大学,12802,二工大(02),"机械工程, 材料成型及控制工程, 机械电子工程, 自动化, 测控技术与仪器, 智能制造工程, 通信工程, 电子信息工程, 网络工程, 智能科学与技术, 软件工程, 数据科学与大数据技术, 工业设计, 信息与计算科学, 复合材料与工程, 新能源科学与工程, 应用物理学",451,31665
2024,上海第二工业大学,12803,二工大(03),"材料化学, 应用化学, 环境工程, 环保设备工程",442,33781
2024,上海第二工业大学,12804,二工大(04),"标准化工程, 工业工程, 信息管理与信息系统, 电子商务",447,32641
2024,上海第二工业大学,12805,二工大(05),"英语, 日语, 物流管理, 信用管理, 财务管理, 国际商务, 投资学, 税收学, 会展经济与管理, 汉语国际教育",454,30934
